,utcTime,frame,keplerianPeriodMillis,semiMajorAxis,eccentricity,inclination,rightAscensionAscendingNode,argumentPeriapsis,meanAnomaly
0,2026-01-01T00:00:00Z,EME2000,6371101.847199223,7427951.248342197,7.321428281135492e-06,1.5533429924551942,0.0,2.942497708695948,3.6024935528613566
1,2026-01-01T00:07:49.481Z,EME2000,6371047.719682012,7427909.177426996,1.0214600049081404e-05,1.5533417636290778,6.283169878731233,3.9258312295598596,3.0816027408615376
2,2026-01-01T00:08:20Z,EME2000,6371046.268527652,7427908.049507521,1.0078924675450317e-05,1.5533417832762326,6.283169267484721,3.9941650262969155,3.043330283212921
3,2026-01-01T00:16:40Z,EME2000,6371100.862708134,7427950.483142062,6.188601804351523e-06,1.5533421295525796,6.2831593834184085,6.117979233689129,1.4120131881834659
4,2026-01-01T00:18:04.694Z,EME2000,6371121.766395577,7427966.730618878,7.182844556063788e-06,1.5533420697440594,6.2831574270184625,0.27988915413588233,1.0503424666618035
5,2026-01-01T00:18:33.447Z,EME2000,6371128.819856797,7427972.212946536,7.600082772102928e-06,1.5533420460844158,6.28315673113976,0.40415770490746705,0.9543962250514779
6,2026-01-01T00:25:00Z,EME2000,6371181.596955269,7428013.234068618,9.057834430882694e-06,1.5533420396933089,6.2831462619708045,1.3305063366468375,0.40881303902576394
7,2026-01-01T00:33:20Z,EME2000,6371158.729045881,7427995.459946963,3.379325803599212e-06,1.553343701572931,6.283132229387185,0.016709745964763822,2.2151173440776266
8,2026-01-01T00:41:40Z,EME2000,6371097.780448739,7427948.0874418,1.4108483554389212e-05,1.5533474477427738,6.283118987196088,6.0563077052248175,2.951207920776435
9,2026-01-01T00:50:00Z,EME2000,6371000.499614441,7427872.475268316,2.478680574122338e-05,1.5533509954700724,6.283108032362292,0.3120028879276262,2.9048191322173977
10,2026-01-01T00:51:22.058Z,EME2000,6371006.945281278,7427877.48521751,2.4448202140979974e-05,1.553351600521266,6.2831064131418985,0.4140465825386084,2.88360104988275
11,2026-01-01T00:58:20Z,EME2000,6371094.460343672,7427945.506874465,1.6451270347672792e-05,1.553355029648563,6.283099127705169,0.809951659115435,2.8993705247207004
12,2026-01-01T01:00:20.782Z,EME2000,6371117.180912237,7427963.166534662,1.3823662091429045e-05,1.5533558499749125,6.2830972341399605,0.8436170485839023,2.9846778717435694
13,2026-01-01T01:06:40Z,EME2000,6371157.444096863,7427994.461217512,9.217510194653359e-06,1.5533572937798994,6.283091086586972,0.5511692446218661,3.650667622190496
14,2026-01-01T01:08:02.910Z,EME2000,6371159.651064042,7427996.176587566,9.4073694755312e-06,1.5533574698221282,6.283089726089668,0.45607837739006163,3.8274275614657527
15,2026-01-01T01:09:24.276Z,EME2000,6371159.167801679,7427995.800970857,9.946290025926112e-06,1.553357627221874,6.283088435369893,0.39571292142292247,3.967940997970293
16,2026-01-01T01:14:56.855Z,EME2000,6371138.291284935,7427979.574644342,1.2486295504393384e-05,1.5533580439609067,6.283084018887614,0.4644148691471972,4.22683658174363
17,2026-01-01T01:15:00Z,EME2000,6371138.071768092,7427979.404024216,1.249661203753673e-05,1.55335804454371,6.28308398382197,0.46606538065592007,4.228283762374382
18,2026-01-01T01:23:20Z,EME2000,6371145.713421425,7427985.3435211135,1.148410694535517e-05,1.5533570808217076,6.283078119830334,0.42686368845062916,4.759989946873544
19,2026-01-01T01:31:40Z,EME2000,6371162.501917393,7427998.392419259,1.2626499121463519e-05,1.5533563463212707,6.283068879710059,0.41763860448891865,5.2617248009402875
20,2026-01-01T01:40:00Z,EME2000,6371121.261743162,7427966.338375927,9.98529735128138e-06,1.5533573049425622,6.283058284798787,0.8269748081872954,5.344898663657763
21,2026-01-01T01:48:20Z,EME2000,6371038.754354345,7427902.20906447,2.4103091860186374e-06,1.5533590252236504,6.283048224410393,3.529794355835574,3.1345795447147458
22,2026-01-01T01:53:30.063Z,EME2000,6371032.872907586,7427897.637667792,7.14107296494758e-06,1.553359905975081,6.283042364851681,4.9847662303937845,1.9850167697953527
23,2026-01-01T01:56:40Z,EME2000,6371040.038898524,7427903.207485459,9.55685314590673e-06,1.553360495102654,6.283039041701541,5.449260919040163,1.7076101612005996
24,2026-01-01T01:58:20.556Z,EME2000,6371045.413344367,7427907.384810528,1.0659660959924006e-05,1.553360818964237,6.283037399794994,5.665907810342296,1.5900110950293234
25,2026-01-01T02:05:00Z,EME2000,6371098.710263662,7427948.810144757,1.4231451755489513e-05,1.5533615596039945,6.28303077073833,0.2247034396552865,1.1414885142305644
26,2026-01-01T02:11:52.004Z,EME2000,6371172.426570678,7428006.106374076,1.3365194415782845e-05,1.553361740644243,6.283020026380438,0.9244301965652687,0.8475993482819513
27,2026-01-01T02:13:20Z,EME2000,6371179.516674194,7428011.617167477,1.2031497326391697e-05,1.5533620106221102,6.283017136039779,1.0049848641139254,0.8537242630189416
28,2026-01-01T02:21:40Z,EME2000,6371204.449189266,7428030.995985305,4.461671232894662e-06,1.5533653968109944,6.283001023242148,0.7722634878874912,1.5789611471498615
29,2026-01-01T02:30:00Z,EME2000,6371142.112622553,7427982.5447901925,9.544956584045017e-06,1.5533702515538073,6.282987804441722,5.725423756610502,3.401503263335723
30,2026-01-01T02:38:20Z,EME2000,6371056.199194162,7427915.768183066,1.497734397951155e-05,1.5533754710027872,6.282977144710872,6.15491539990858,3.4645169697270823
31,2026-01-01T02:38:52.781Z,EME2000,6371057.992245513,7427917.161843537,1.460667484295979e-05,1.553375692632617,6.282976517909093,6.172016638685681,3.4797050428465885
