,utcTime,frame,semiMajorAxis,eccentricity,inclination,rightAscensionAscendingNode,argumentPeriapsis,trueAnomaly
0,2026-01-01T00:00:00Z,EME2000,7436878.292491742,0.00039897066508888973,1.5533534696618287,0.0,0.009415649435605036,6.273769657743981
1,2026-01-01T00:08:20Z,EME2000,7432830.512230621,0.00033836216712005053,1.5533461034977838,0.0,2.226188951456254,4.549584389938258
2,2026-01-01T00:12:11.493Z,EME2000,7429055.471253405,0.0006200730001242025,1.5533414150338343,0.0,3.1728317949843015,3.8309777386367565
3,2026-01-01T00:16:40Z,EME2000,7424477.510238667,0.0010568279192631172,1.553336321803687,6.283173945547738,3.7763057211827706,3.4919851700462488
4,2026-01-01T00:22:39.632Z,EME2000,7420070.851504714,0.001497868374301504,1.5533310804144542,6.283161529495941,4.366716737963989,3.2557692443639166
5,2026-01-01T00:22:47.954Z,EME2000,7420008.987166571,0.0015041370471649757,1.5533309987584831,6.283161176558492,4.379323956649528,3.251357661853042
6,2026-01-01T00:25:00Z,EME2000,7419320.678227312,0.0015742050881002593,1.553330060090331,6.2831552657247025,4.57673419249711,3.18399030177288
7,2026-01-01T00:33:20Z,EME2000,7421843.116168048,0.0013244431449013013,1.5533336701665963,6.283131744136504,5.332489478993106,2.9206511794940653
8,2026-01-01T00:41:40Z,EME2000,7429859.511531047,0.0005585477791656354,1.5533460354485453,6.283114985461325,0.10438199306192253,2.3580494525927893
9,2026-01-01T00:50:00Z,EME2000,7436177.674235356,0.00034316657262509773,1.5533578055936446,6.283109066744407,2.505050428900633,0.44993988138179386
10,2026-01-01T00:55:44.062Z,EME2000,7436371.877653153,0.00034827548992920685,1.5533606767357735,6.283108886338126,3.6282464706422313,5.948892178755635
11,2026-01-01T00:58:20Z,EME2000,7435189.897744021,0.0002978662482406823,1.553360569934764,6.283108850529747,4.299222991248241,5.431540135397373
12,2026-01-01T01:04:45.047Z,EME2000,7429743.194863249,0.0005695609125101284,1.5533570549665685,6.283106739002385,6.212195220084979,3.8978745556825753
13,2026-01-01T01:06:40Z,EME2000,7427755.241717815,0.0007525630406034694,1.5533552761175433,6.283105101204822,0.23696894208912855,3.7031452851040445
14,2026-01-01T01:12:12.381Z,EME2000,7422413.440198211,0.0012750942096451654,1.5533498900063332,6.28309722149982,0.8739171953696481,3.3935676399758936
15,2026-01-01T01:13:51.046Z,EME2000,7421185.030263241,0.0013974216277382598,1.5533486262769944,6.283094199391108,1.0321710688854118,3.3324846202195983
16,2026-01-01T01:15:00Z,EME2000,7420474.826464171,0.0014681586377059172,1.5533479108934138,6.283091994367247,1.1389857308689089,3.2935784016688783
17,2026-01-01T01:19:41.807Z,EME2000,7419102.722006289,0.001602632873333251,1.5533466001500515,6.283082853827738,1.5593926294971139,3.1506990353234476
18,2026-01-01T01:23:20Z,EME2000,7419888.5209430745,0.0015191650850533305,1.5533473046359072,6.283076129764213,1.8834871740725756,3.0414838204108587
19,2026-01-01T01:31:40Z,EME2000,7426585.181199601,0.0008442546504746515,1.553353871222565,6.2830627777727,2.7458107832533956,2.671610127886376
20,2026-01-01T01:40:00Z,EME2000,7434529.45667318,0.0002983556020769492,1.55336335135647,6.283055715016348,4.841154953294007,1.0688099240811217
21,2026-01-01T01:48:20Z,EME2000,7436575.9022916835,0.00038789443807944843,1.5533674909396944,6.283054822359358,0.3772936003148417,6.0252790665193015
22,2026-01-01T01:56:40Z,EME2000,7430910.7683406435,0.0004524209164645926,1.5533627212295338,6.283052568244621,2.7986553417648867,4.09650354449199
23,2026-01-01T01:57:56.622Z,EME2000,7429623.296351746,0.0005589476498091126,1.5533614391481871,6.283051592684774,3.0717813383219537,3.8988565748714454
24,2026-01-01T02:02:34.066Z,EME2000,7424871.12911778,0.0010092064104358825,1.5533567064504432,6.283046422277477,3.734092040925027,3.5098316224508994
25,2026-01-01T02:05:00Z,EME2000,7422654.095348901,0.0012308719550475522,1.553354494493907,6.2830427061480565,3.9934657880626308,3.3941932161703603
26,2026-01-01T02:13:20Z,EME2000,7419172.177138558,0.0015881076121481972,1.5533506303717994,6.283023850181213,4.7599172952749065,3.120166991096222
27,2026-01-01T02:16:35.534Z,EME2000,7420011.16100816,0.0015062958143688089,1.5533518451980177,6.283014094518124,5.0510561311601245,3.021595597632496
28,2026-01-01T02:21:40Z,EME2000,7423526.709977149,0.0011583274335281975,1.5533575331342226,6.282999314475059,5.539472593127381,2.833037492432217
29,2026-01-01T02:30:00Z,EME2000,7431897.31935134,0.0003978405765900403,1.553371471885573,6.282984258214292,0.5767457816145911,2.005076914826256
30,2026-01-01T02:38:20Z,EME2000,7436751.936631577,0.0003791098045248864,1.5533826120032208,6.282980249916976,2.9454647043154685,0.12893336877495098
31,2026-01-01T02:43:30.041Z,EME2000,7435831.851792031,0.00033313254413289974,1.553384269009444,6.282980255315782,3.983276535606453,5.679756016124982
32,2026-01-01T02:46:40Z,EME2000,7433808.944148635,0.00031108144019811206,1.5533827033526033,6.2829796828879285,4.979147189808355,4.871023900764941
33,2026-01-01T02:51:26.205Z,EME2000,7429351.88258683,0.0006028999051249003,1.5533777697447033,6.282976443324069,6.257060235317864,3.8750484785126105
34,2026-01-01T02:53:36.927Z,EME2000,7427077.806278894,0.0008112755153563771,1.5533750517501974,6.282973789533207,0.31017423255010357,3.6675120184986305
35,2026-01-01T02:55:00Z,EME2000,7425653.884079955,0.0009472186279926334,1.5533733279733661,6.2829717145741775,0.4867836848960412,3.572727581488625
