,utcTime,frame,isInsolating,q0,q1,q2,q3,mass,X,Y,Z,Vx,Vy,Vz
0,2026-01-01T00:00:00Z,EME2000,True,-0.707079888913651,0.006166903101153021,0.7070798889136509,-0.006166903101153021,510.0,7433911.327630477,0.0,0.0,-0.02750162863348156,127.74455994709722,7322.860191044651
1,2026-01-01T00:08:20Z,EME2000,True,-0.5133469249005277,0.004480069541495209,0.8581368242025615,-0.007486963310795369,510.0,6549506.30847968,61324.34165659096,3514715.2866699803,-3465.1044244626355,112.57167845668941,6449.923596926276
2,2026-01-01T00:12:11.493Z,EME2000,True,0.4123809951104094,-0.003601624256145842,-0.9109696747488112,0.007949519640282534,510.0,5584791.147762078,85572.07101135724,4903719.0138684455,-4833.25640481419,96.01185338669903,5498.487729640461
3,2026-01-01T00:16:40Z,EME2000,True,0.288666670624669,-0.002525563118432867,-0.957389859059906,0.008356588458031866,510.0,4108140.9666027655,108080.85049354217,6192239.8006327525,-6101.3604201408925,70.67471211652312,4043.424722078196
4,2026-01-01T00:22:39.632Z,EME2000,True,0.1154852421141393,-0.0010203226786722488,-0.9932708099723746,0.00867270732199496,510.0,1704949.4170810527,126277.11589001422,7231779.548260173,-7123.5031387767285,29.472450847516516,1677.6225339496996
5,2026-01-01T00:22:47.954Z,EME2000,True,0.11141404228742156,-0.0009849549466050267,-0.9937357060875152,0.008676836501716008,510.0,1645612.5319915314,126518.15000589467,7245497.524613671,-7136.98550777332,28.455506437032252,1619.231576729518
6,2026-01-01T00:25:00Z,EME2000,True,0.04661002842586118,-0.0004220646270521931,-0.9988749868453513,0.008722830176632744,510.0,691992.6803782738,129200.30557298855,7397571.294793889,-7286.436849530631,12.112780643952291,680.8939861111022
7,2026-01-01T00:33:20Z,EME2000,True,-0.19824942086559377,0.001704777863434391,-0.9801127140551137,0.008563212388586311,510.0,-2888172.7139764754,119719.53090555026,6846190.712618037,-6744.470157554236,-49.274228213053085,-2842.0897282633077
8,2026-01-01T00:41:40Z,EME2000,True,-0.4311789841948255,0.003730474359280399,-0.9022242271838058,0.007887397058452001,510.0,-5783453.613478854,81875.22447931378,4668131.362276049,-4601.25603396498,-99.05310956423001,-5694.265397643327
9,2026-01-01T00:50:00Z,EME2000,True,-0.6381285638524105,0.005534804480443594,-0.7698804523845991,0.00673728217522742,510.0,-7304827.442391344,24605.91880288586,1378933.3051317309,-1359.7783320368183,-125.38316660484902,-7195.226840585207
10,2026-01-01T00:55:44.062Z,EME2000,True,-0.7588424412887698,0.006590741893170723,-0.6512159006744057,0.0057063235993224356,510.0,-7347808.763792039,-19109.440172633265,-1128089.4260239785,1112.3508169836866,-126.29080620266608,-7237.642957244992
11,2026-01-01T00:58:20Z,EME2000,True,-0.806577087556792,0.007009225454189075,-0.5910646334270762,0.005183791918227696,510.0,-7088441.622395511,-38499.65628551823,-2238942.571544344,2207.5793474626494,-121.91063744042533,-6981.602057992054
12,2026-01-01T01:04:45.047Z,EME2000,True,-0.9035414459911634,0.007861923640316433,-0.42841197895210054,0.0037711832647503987,510.0,-5754751.414747969,-81581.94681793984,-4703508.910251689,4636.000125989464,-99.18360536526397,-5665.910012256834
13,2026-01-01T01:06:40Z,EME2000,True,-0.9263353247830791,0.008063233868142755,-0.3765990159527293,0.00332137050790407,510.0,-5186146.842246067,-92436.8331911143,-5323267.46887637,5246.175052296417,-89.47313083125921,-5105.387731779786
14,2026-01-01T01:12:12.381Z,EME2000,True,-0.9753222059034629,0.008498448708772997,-0.22061391643112438,0.001967464883680203,510.0,-3198348.6603087764,-116745.27048985254,-6707107.384862842,6607.633617792623,-55.49793785851254,-3147.36633984617
15,2026-01-01T01:13:51.046Z,EME2000,True,-0.9848856840429044,0.008584333643803961,-0.17298579034077963,0.0015540023834869473,510.0,-2532380.4023781884,-121662.87160869874,-6985517.734264191,6881.354990478645,-44.1072601668743,-2491.7841001718352
16,2026-01-01T01:15:00Z,EME2000,True,-0.9901904714234759,0.008632340966032125,-0.13945149067787152,0.001262829885679301,510.0,-2052426.7431739927,-124422.17258052646,-7141109.204405361,7034.29648551188,-35.89541872434539,-2019.406951673586
17,2026-01-01T01:19:41.807Z,EME2000,True,-0.9999612771138651,0.008724688021801954,-0.0011490607482558643,6.124644513734668e-05,510.0,-17084.603512581492,-129660.11248794517,-7429841.4054951165,7318.061818183905,-1.0412420784191756,-16.702412165959135
18,2026-01-01T01:23:20Z,EME2000,True,-0.9943186327565984,0.008680954746722248,0.10608646667341767,-0.0008713016032983642,510.0,1567833.8435627632,-126911.39164394335,-7262719.631462164,7153.856595956907,26.14095745393871,1542.737711607682
19,2026-01-01T01:31:40Z,EME2000,True,-0.9384715131960459,0.008205981198062002,0.34524651668188955,-0.002953559060291432,510.0,4816468.924445044,-99314.26539235798,-5659414.928083159,5577.1371097140745,82.02543090042339,4741.328152915094
20,2026-01-01T01:40:00Z,EME2000,True,-0.8259883217638782,0.007236417018361276,0.5636198300963118,-0.004859393031345736,510.0,6921720.777327264,-48144.236776434715,-2709947.558566652,2671.977076422305,118.51296326738176,6817.378304382826
21,2026-01-01T01:48:20Z,EME2000,True,-0.6636378080171157,0.00583216146628074,0.7480032863275569,-0.006475284244261325,510.0,7380873.324988119,14467.502368877593,885258.8805786095,-873.0137998165359,126.8452648204236,7270.624230505921
22,2026-01-01T01:56:40Z,EME2000,True,-0.4612399758084481,0.004079520437085167,0.8872326073728738,-0.0077034176543590216,510.0,6083916.686754903,73631.10042239318,4269405.4631459415,-4208.616850317925,105.0100023933984,5990.772910276954
