,@type,argumentOfInterestId,contactType,durationInMillis,startUtcTime,startAzimuth,startElevation,startDistance,maxElevationUtcTime,maxElevationAzimuth,maxElevationElevation,maxElevationDistance,endUtcTime,endAzimuth,endElevation,endDistance
0,ContactPointTriple,gs-1,POI,500711,2026-01-01T04:04:12.813Z,66.09128083955456,-1.5493656322959792e-07,3852627.794804878,2026-01-01T04:08:23.974Z,37.92886567110417,2.997821529461351,3527646.174376231,2026-01-01T04:12:33.524Z,9.84635502843692,5.31109924438815e-12,3839227.0550043494
1,ContactPointTriple,gs-1,POI,1029994,2026-01-01T05:48:34.554Z,84.00358343216614,-1.225316216394848e-12,3854054.5025377846,2026-01-01T05:57:12.871Z,13.6978285832361,28.966653120324054,1839150.2444220358,2026-01-01T06:05:44.548Z,303.7824399091869,3.149342309613398e-11,3819910.0324825146
2,ContactPointTriple,gs-1,POI,1083508,2026-01-01T07:34:45.750Z,93.25781712426271,-4.724367045345829e-10,3854129.803449488,2026-01-01T07:43:50.021Z,173.00586172889535,58.43384206182112,1219000.8011769871,2026-01-01T07:52:49.258Z,253.3658079990791,6.821773632517098e-12,3817203.210401065
3,ContactPointTriple,gs-1,POI,795043,2026-01-01T09:21:57.809Z,104.63403445548686,-7.485911312758454e-11,3853489.023248397,2026-01-01T09:28:35.579Z,152.00172284363535,11.30663842328275,2791000.1760700545,2026-01-01T09:35:12.852Z,199.72933536628793,3.814704111986013e-13,3829270.383760088
4,ContactPointTriple,gs-1,POI,413215,2026-01-01T16:10:55.217Z,16.714723324179964,-1.6727287966710118e-11,3841615.402421609,2026-01-01T16:14:21.875Z,39.72158456093286,2.283538834055719,3601742.2678310247,2026-01-01T16:17:48.432Z,62.64139788959872,4.848109070560189e-12,3852285.1363151427
5,ContactPointTriple,gs-1,POI,987821,2026-01-01T17:49:56.880Z,312.24561604020386,-9.751184429813642e-11,3822225.0836415724,2026-01-01T17:58:09.613Z,17.311274105795704,26.29698323380662,1942487.6412103893,2026-01-01T18:06:24.701Z,81.82108964610086,5.393004078905978e-12,3853891.4298676853
6,ContactPointTriple,gs-1,POI,1098084,2026-01-01T19:34:44.395Z,262.06411679127103,-7.128747180302033e-13,3817505.977693621,2026-01-01T19:43:50.144Z,176.8830350531121,65.0028839316449,1158614.1849598861,2026-01-01T19:53:02.479Z,91.17362251607497,9.899224753974893e-13,3854141.1842930736
7,ContactPointTriple,gs-1,POI,860950,2026-01-01T21:24:19.885Z,207.58945236395766,-7.755959806860084e-11,3828021.1976006674,2026-01-01T21:31:27.970Z,155.01309210752112,12.593925281395835,2696431.776683192,2026-01-01T21:38:40.835Z,102.18571802775335,7.30497954471115e-08,3853967.529452922
8,ContactPointTriple,gs-1,POI,856963,2026-01-02T04:51:09.241Z,77.69321237285374,-1.7793794835659667e-12,3853517.2849788084,2026-01-02T04:58:20.146Z,25.171236832755277,12.407819490563961,2708820.1235930957,2026-01-02T05:05:26.204Z,332.89322249685875,2.936175529236763e-10,3826540.4327945877
9,ContactPointTriple,gs-1,POI,1097334,2026-01-02T06:36:46.840Z,88.75857931636492,-1.2807227776585666e-12,3853979.158093728,2026-01-02T06:45:58.924Z,3.2689545026447697,64.22923707435555,1164215.7968101804,2026-01-02T06:55:04.174Z,278.30406684220895,5.10418764333606e-13,3815829.7982134228
10,ContactPointTriple,gs-1,POI,989481,2026-01-02T08:23:24.223Z,98.10286780976247,-3.157011747230622e-12,3853731.1334864814,2026-01-02T08:31:40.245Z,162.83440196658086,26.583972781483432,1930040.9770233347,2026-01-02T08:39:53.704Z,228.12956475366684,7.38119315536037e-08,3820540.3395050364
11,ContactPointTriple,gs-1,POI,421125,2026-01-02T10:11:58.336Z,117.0635040469942,-2.626607124496952e-11,3851819.9443394165,2026-01-02T10:15:28.858Z,140.44661921467718,2.3803790051517417,3590815.312225432,2026-01-02T10:18:59.461Z,163.9217998822099,6.252702854455632e-13,3840320.635693567
12,ContactPointTriple,gs-1,POI,791684,2026-01-02T16:54:39.053Z,340.6964462282029,-3.343778406818857e-08,3830812.7028249614,2026-01-02T17:01:14.704Z,28.151746633944516,11.154640646587758,2803406.560413572,2026-01-02T17:07:50.737Z,75.25552571687629,5.200707723616829e-10,3853719.648669945
13,ContactPointTriple,gs-1,POI,1083043,2026-01-02T18:37:00.312Z,286.9942536381451,-9.82648861851652e-11,3818863.6096000774,2026-01-02T18:45:59.455Z,7.139215520625869,57.75550166324762,1226918.7673916044,2026-01-02T18:55:03.355Z,86.67532873853287,5.234899105806229e-10,3854134.506598122
14,ContactPointTriple,gs-1,POI,1032047,2026-01-02T20:24:02.975Z,236.61980112257748,-8.255801099665972e-11,3821507.3123451876,2026-01-02T20:32:35.765Z,166.4666998054229,29.315584121634526,1827357.763364584,2026-01-02T20:41:15.022Z,95.91603320404727,7.112178086111315e-08,3854271.486846493
15,ContactPointTriple,gs-1,POI,509435,2026-01-02T22:17:09.633Z,170.8798922515724,-3.341637157468943e-08,3840252.515798105,2026-01-02T22:21:23.534Z,142.28449946968394,3.1163765652966284,3516458.873126816,2026-01-02T22:25:39.068Z,113.60451999771517,1.922890326208517e-08,3853171.634410236
16,ContactPointTriple,gs-1,POI,490682,2026-01-03T03:54:42.119Z,65.74132458129252,-2.1070228991434026e-11,3851968.4470343436,2026-01-03T03:58:48.248Z,38.17239758228479,2.8651208927170573,3540242.03903418,2026-01-03T04:02:52.801Z,10.678504344413337,6.4657545923206224e-09,3838181.8561011283
